"","y1","id_trt","","y2"
"1",1957,928215,923923,1957
"2",1958,901615,906546,1958
"3",1958,902464,918439,1958
"4",1958,904665,932380,1958
"5",1958,905854,917114,1958
"6",1958,910308,906794,1958
"7",1958,914632,921883,1957
"8",1958,918487,906053,1958
"9",1958,919747,911149,1958
"10",1958,920393,911641,1958
"11",1959,911679,927740,1958
"12",1959,919616,933833,1959
"13",1959,920250,912755,1959
"14",1959,920561,915903,1959
"15",1960,901344,929516,1960
"16",1960,928577,933115,1960
"17",1960,929329,919259,1960
"18",1960,904013,905080,1960
"19",1960,905093,912911,1960
"20",1960,910543,924040,1959
"21",1960,911608,908881,1960
"22",1960,915798,921582,1960
"23",1960,916221,929133,1960
"24",1960,923965,910941,1960
"25",1960,924626,930002,1960
"26",1961,902608,906536,1960
"27",1961,913679,903099,1961
"28",1961,915077,930098,1961
"29",1961,916260,932861,1959
"30",1961,917051,917751,1961
"31",1961,917447,916554,1961
"32",1961,918062,927376,1961
"33",1961,919657,932747,1960
"34",1961,923847,924301,1961
"35",1961,926776,932890,1960
"36",1961,930167,916216,1961
"37",1961,903654,933443,1961
"38",1961,932093,914001,1961
"39",1961,903734,919892,1961
"40",1961,905068,925837,1961
"41",1961,906952,924591,1960
"42",1961,908414,902858,1961
"43",1961,910820,921411,1960
"44",1961,913088,919963,1961
"45",1961,913165,912644,1960
"46",1962,900440,920700,1962
"47",1962,914616,908675,1962
"48",1962,915282,924321,1962
"49",1962,915418,907590,1961
"50",1962,919161,916314,1961
"51",1962,921528,928270,1962
"52",1962,923503,923278,1962
"53",1962,925249,933349,1962
"54",1962,926086,925755,1961
"55",1962,927885,922761,1962
"56",1962,927948,932253,1962
"57",1962,901297,909875,1960
"58",1962,929214,933623,1962
"59",1962,931685,933373,1962
"60",1962,932458,922047,1962
"61",1962,933223,917959,1961
"62",1962,933727,928916,1961
"63",1962,901860,918492,1962
"64",1962,904129,919379,1961
"65",1962,904449,932639,1961
"66",1962,909623,926705,1961
"67",1962,910665,919263,1961
"68",1962,911928,917898,1962
"69",1962,913555,933090,1961
"70",1963,900833,929322,1962
"71",1963,911425,917585,1963
"72",1963,912468,926598,1963
"73",1963,914679,925989,1963
"74",1963,918613,922012,1961
"75",1963,919114,921018,1963
"76",1963,919621,906085,1963
"77",1963,923020,927419,1963
"78",1963,923573,931925,1962
"79",1963,924910,926287,1962
"80",1963,925055,932529,1963
"81",1963,902333,923483,1962
"82",1963,927108,903749,1963
"83",1963,927362,916376,1963
"84",1963,927501,929096,1962
"85",1963,928955,931303,1963
"86",1963,930405,929496,1962
"87",1963,932175,933166,1963
"88",1963,903093,933438,1963
"89",1963,903683,929689,1962
"90",1963,904133,932581,1963
"91",1963,906969,906946,1962
"92",1963,907456,922995,1963
"93",1963,910026,929185,1963
"94",1963,910579,930162,1962
"95",1964,904520,926303,1963
"96",1964,921329,923480,1964
"97",1964,921408,927489,1962
"98",1964,924012,909894,1964
"99",1964,926862,933627,1964
"100",1964,927437,915914,1964
"101",1964,929735,930751,1963
"102",1964,930819,920632,1964
"103",1964,933147,929021,1962
"104",1964,933731,908698,1964
"105",1964,904737,923487,1963
"106",1964,910537,917908,1964
"107",1964,913280,918574,1963
"108",1964,913304,921398,1962
"109",1964,913700,932917,1964
"110",1964,914173,925503,1964
"111",1964,919363,930220,1964
"112",1964,919941,909100,1964
"113",1965,900207,932394,1965
"114",1965,906368,931501,1964
"115",1965,908342,908484,1965
"116",1965,908955,920420,1965
"117",1965,910925,933155,1965
"118",1965,911910,931215,1965
"119",1965,912417,907303,1965
"120",1965,912780,918826,1965
"121",1965,913472,922210,1964
"122",1965,918366,911578,1965
"123",1965,921043,929174,1965
"124",1965,900226,922827,1965
"125",1965,922196,932680,1964
"126",1965,922327,927000,1965
"127",1965,922739,931319,1964
"128",1965,923354,927939,1965
"129",1965,924945,931807,1965
"130",1965,927399,923752,1964
"131",1965,930481,927936,1964
"132",1965,900475,929919,1964
"133",1965,900676,917715,1964
"134",1965,902520,919513,1965
"135",1965,903666,920554,1965
"136",1965,903896,902326,1965
"137",1965,904457,921146,1962
"138",1965,905031,930857,1965
"139",1966,901688,927107,1966
"140",1966,913330,919036,1966
"141",1966,913603,933114,1965
"142",1966,914674,931655,1963
"143",1966,916111,933658,1966
"144",1966,918599,920870,1965
"145",1966,918990,932445,1965
"146",1966,920169,932953,1965
"147",1966,922754,933726,1966
"148",1966,923304,929280,1964
"149",1966,925747,928157,1965
"150",1966,902516,928653,1965
"151",1966,927252,904246,1965
"152",1966,927381,905259,1966
"153",1966,927714,933767,1966
"154",1966,929922,928078,1966
"155",1966,933259,926409,1965
"156",1966,933766,907637,1966
"157",1966,905786,932422,1966
"158",1966,907344,927358,1966
"159",1966,908160,909458,1966
"160",1966,909713,927907,1966
"161",1966,909863,900394,1966
"162",1966,910731,927159,1966
"163",1966,910895,928115,1965
"164",1967,900623,923728,1967
"165",1967,908560,910369,1966
"166",1967,911266,929586,1966
"167",1967,912422,931054,1967
"168",1967,913546,925660,1967
"169",1967,914276,902869,1967
"170",1967,916212,910341,1965
"171",1967,916307,925686,1966
"172",1967,918733,933446,1967
"173",1967,918917,921761,1965
"174",1967,919527,929912,1967
"175",1967,901019,903050,1966
"176",1967,921204,913618,1966
"177",1967,921554,917813,1966
"178",1967,924864,907852,1967
"179",1967,925195,933917,1965
"180",1967,930302,911753,1966
"181",1967,930815,921457,1966
"182",1967,932363,917901,1967
"183",1967,933029,908007,1966
"184",1967,903224,927457,1966
"185",1967,903420,919722,1967
"186",1967,904209,909019,1967
"187",1967,905908,923300,1965
"188",1967,906449,901897,1967
"189",1967,907226,930506,1966
"190",1967,907502,920712,1966
"191",1968,900782,919691,1968
"192",1968,913557,919094,1967
"193",1968,915266,901876,1967
"194",1968,918615,931371,1968
"195",1968,919432,924759,1968
"196",1968,919777,927312,1966
"197",1968,919919,915094,1967
"198",1968,920617,900716,1968
"199",1968,920822,904178,1967
"200",1968,922977,918944,1968
"201",1968,923693,914511,1968
"202",1968,901178,905658,1966
"203",1968,924641,930403,1967
"204",1968,926006,918776,1967
"205",1968,927454,918049,1967
"206",1968,929465,908060,1968
"207",1968,933135,924560,1968
"208",1968,933172,907549,1968
"209",1968,901324,925008,1968
"210",1968,901441,919974,1968
"211",1968,905117,926661,1966
"212",1968,905367,916024,1964
"213",1968,907126,921454,1967
"214",1968,911486,927271,1966
"215",1968,912495,914539,1968
"216",1969,900181,906495,1968
"217",1969,911368,903236,1969
"218",1969,915478,925236,1969
"219",1969,915982,911806,1968
"220",1969,919429,923677,1969
"221",1969,922616,907501,1969
"222",1969,922630,915135,1968
"223",1969,922785,927047,1968
"224",1969,923356,911226,1967
"225",1969,924955,919474,1969
"226",1969,925843,933468,1965
"227",1969,900404,923342,1968
"228",1969,926988,919092,1969
"229",1969,927589,933015,1968
"230",1969,930841,927684,1968
"231",1969,900854,908132,1969
"232",1969,904106,932701,1966
"233",1969,904426,916604,1969
"234",1969,908211,907014,1969
"235",1969,908298,923793,1969
"236",1969,908604,924054,1969
"237",1969,911288,927771,1965
"238",1970,900764,928089,1967
"239",1970,920353,923384,1970
"240",1970,920372,902494,1967
"241",1970,921938,905433,1969
"242",1970,927781,917226,1966
"243",1970,927918,904004,1969
"244",1970,931375,933244,1969
"245",1970,933935,925464,1970
"246",1970,901670,930328,1968
"247",1970,902538,921648,1970
"248",1970,903841,900732,1968
"249",1970,904102,917885,1969
"250",1970,918357,913109,1970
"251",1970,918667,915596,1969
"252",1970,919060,927746,1969
"253",1970,920281,916810,1970
"254",1971,901317,905514,1969
"255",1971,906532,929725,1967
"256",1971,910342,914865,1969
"257",1971,912724,926886,1970
"258",1971,913594,922666,1969
"259",1971,913914,931634,1969
"260",1971,914177,905040,1970
"261",1971,915241,915445,1971
"262",1971,915791,926596,1970
"263",1971,917296,927415,1969
"264",1971,924352,921055,1970
"265",1971,901373,910045,1969
"266",1971,926826,915674,1968
"267",1971,927542,927240,1971
"268",1971,927624,920128,1967
"269",1971,930797,914204,1970
"270",1971,902222,924435,1971
"271",1971,903206,918043,1970
"272",1971,903639,923271,1966
"273",1971,904157,932217,1968
"274",1971,904783,931244,1969
"275",1971,905501,925893,1967
"276",1971,906241,908129,1966
"277",1972,901285,921320,1970
"278",1972,912602,921831,1971
"279",1972,912636,933774,1970
"280",1972,913124,924168,1970
"281",1972,913365,931386,1970
"282",1972,914033,931539,1966
"283",1972,914647,930587,1970
"284",1972,915657,933299,1969
"285",1972,919010,908524,1969
"286",1972,919873,915868,1971
"287",1972,921640,932497,1968
"288",1972,902152,932671,1971
"289",1972,926369,917846,1971
"290",1972,927152,908370,1968
"291",1972,929217,907817,1966
"292",1972,929539,918040,1971
"293",1972,930817,933611,1968
"294",1972,904725,932541,1972
"295",1972,904989,901629,1971
"296",1972,905306,909796,1969
"297",1972,907738,909362,1970
"298",1972,908617,925574,1971
"299",1972,911533,921099,1972
"300",1972,912086,928590,1968
"301",1973,900572,917430,1973
"302",1973,912878,909646,1972
"303",1973,915177,923293,1971
"304",1973,919479,909585,1969
"305",1973,924721,919021,1968
"306",1973,924800,926608,1970
"307",1973,927184,931046,1968
"308",1973,931280,918860,1971
"309",1973,933390,912762,1973
"310",1973,933600,931265,1971
"311",1973,933806,925233,1972
"312",1973,900614,903247,1971
"313",1973,900842,926332,1970
"314",1973,903706,931135,1967
"315",1973,904053,916605,1972
"316",1973,904367,927016,1969
"317",1973,907533,927730,1970
"318",1973,910447,909748,1971
"319",1973,910544,932565,1966
"320",1974,903157,924778,1969
"321",1974,918078,922688,1967
"322",1974,921250,906459,1971
"323",1974,921835,931434,1969
"324",1974,923348,907250,1974
