"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"temp2",923923,2,2,2,1,1,3,NA,NA,NA,NA
"temp2",906546,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",918439,2,2,2,1,1,NA,NA,NA,NA,NA
"temp2",932380,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",917114,2,1,1,2,NA,NA,NA,NA,NA,NA
"temp2",906794,2,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",921883,2,3,1,NA,NA,NA,NA,NA,NA,NA
"temp2",906053,2,1,2,1,1,2,NA,NA,NA,NA
"temp2",911149,1,2,2,1,2,NA,NA,NA,NA,NA
"temp2",911641,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",927740,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",933833,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",912755,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",915903,2,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",929516,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",933115,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",919259,1,1,2,2,NA,NA,NA,NA,NA,NA
"temp2",905080,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",912911,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",924040,2,1,2,3,NA,NA,NA,NA,NA,NA
"temp2",908881,2,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",921582,2,2,1,1,NA,NA,NA,NA,NA,NA
"temp2",929133,2,1,3,3,NA,NA,NA,NA,NA,NA
"temp2",910941,1,2,2,1,1,1,3,NA,NA,NA
"temp2",930002,1,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",906536,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",903099,1,1,1,1,1,NA,NA,NA,NA,NA
"temp2",930098,2,1,2,1,3,NA,NA,NA,NA,NA
"temp2",932861,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",917751,2,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",916554,1,1,1,1,1,2,NA,NA,NA,NA
"temp2",927376,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",932747,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",924301,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",932890,2,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",916216,1,2,2,2,NA,NA,NA,NA,NA,NA
"temp2",933443,2,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",914001,1,1,1,1,1,3,NA,NA,NA,NA
"temp2",919892,1,2,1,1,NA,NA,NA,NA,NA,NA
"temp2",925837,1,2,1,1,1,1,NA,NA,NA,NA
"temp2",924591,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",902858,2,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",921411,2,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",919963,2,2,2,1,3,NA,NA,NA,NA,NA
"temp2",912644,2,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",920700,1,2,2,1,NA,NA,NA,NA,NA,NA
"temp2",908675,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",924321,2,2,2,1,1,1,2,NA,NA,NA
"temp2",907590,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",916314,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",928270,1,1,2,1,1,1,NA,NA,NA,NA
"temp2",923278,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",933349,1,1,2,1,1,1,1,NA,NA,NA
"temp2",925755,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",922761,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",932253,1,1,1,1,1,1,1,1,1,NA
"temp2",909875,2,2,2,1,1,1,3,NA,NA,NA
"temp2",933623,1,1,2,1,1,1,3,NA,NA,NA
"temp2",933373,2,1,1,1,3,NA,NA,NA,NA,NA
"temp2",922047,1,2,1,2,NA,NA,NA,NA,NA,NA
"temp2",917959,1,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",928916,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",918492,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",919379,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",932639,1,2,1,1,NA,NA,NA,NA,NA,NA
"temp2",926705,2,2,2,1,3,NA,NA,NA,NA,NA
"temp2",919263,1,1,2,1,1,3,NA,NA,NA,NA
"temp2",917898,1,1,2,1,1,NA,NA,NA,NA,NA
"temp2",933090,2,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",929322,1,1,1,1,1,1,NA,NA,NA,NA
"temp2",917585,1,1,2,1,NA,NA,NA,NA,NA,NA
"temp2",926598,2,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",925989,2,2,2,NA,NA,NA,NA,NA,NA,NA
"temp2",922012,2,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",921018,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",906085,1,1,1,1,1,2,NA,NA,NA,NA
"temp2",927419,1,2,2,NA,NA,NA,NA,NA,NA,NA
"temp2",931925,2,2,2,1,NA,NA,NA,NA,NA,NA
"temp2",926287,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",932529,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",923483,2,1,2,1,1,NA,NA,NA,NA,NA
"temp2",903749,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",916376,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",929096,1,2,2,NA,NA,NA,NA,NA,NA,NA
"temp2",931303,1,2,1,1,NA,NA,NA,NA,NA,NA
"temp2",929496,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",933166,1,1,2,1,1,1,1,3,NA,NA
"temp2",933438,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",929689,1,1,1,1,1,3,NA,NA,NA,NA
"temp2",932581,1,1,1,1,1,NA,NA,NA,NA,NA
"temp2",906946,2,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",922995,1,1,1,2,NA,NA,NA,NA,NA,NA
"temp2",929185,1,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",930162,1,2,2,1,NA,NA,NA,NA,NA,NA
"temp2",926303,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",923480,1,1,1,1,1,1,1,NA,NA,NA
"temp2",927489,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",909894,1,1,2,1,3,NA,NA,NA,NA,NA
"temp2",933627,2,1,1,1,1,3,NA,NA,NA,NA
"temp2",915914,1,1,1,1,1,2,NA,NA,NA,NA
"temp2",930751,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",920632,2,2,1,1,NA,NA,NA,NA,NA,NA
"temp2",929021,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",908698,1,1,1,1,1,1,NA,NA,NA,NA
"temp2",923487,2,2,2,1,NA,NA,NA,NA,NA,NA
"temp2",917908,1,1,2,NA,NA,NA,NA,NA,NA,NA
"temp2",918574,1,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",921398,1,1,1,1,2,NA,NA,NA,NA,NA
"temp2",932917,2,2,2,1,1,3,NA,NA,NA,NA
"temp2",925503,2,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",930220,2,2,1,1,3,NA,NA,NA,NA,NA
"temp2",909100,1,2,2,1,3,NA,NA,NA,NA,NA
"temp2",932394,2,1,2,1,NA,NA,NA,NA,NA,NA
"temp2",931501,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",908484,1,1,3,3,NA,NA,NA,NA,NA,NA
"temp2",920420,1,2,2,1,NA,NA,NA,NA,NA,NA
"temp2",933155,1,1,2,1,1,2,NA,NA,NA,NA
"temp2",931215,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",907303,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",918826,2,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",922210,1,1,1,1,2,NA,NA,NA,NA,NA
"temp2",911578,1,1,2,2,NA,NA,NA,NA,NA,NA
"temp2",929174,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",922827,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",932680,1,1,2,1,NA,NA,NA,NA,NA,NA
"temp2",927000,1,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",931319,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",927939,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",931807,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",923752,1,2,1,1,NA,NA,NA,NA,NA,NA
"temp2",927936,1,2,2,1,NA,NA,NA,NA,NA,NA
"temp2",929919,1,2,2,2,NA,NA,NA,NA,NA,NA
"temp2",917715,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",919513,1,1,1,2,NA,NA,NA,NA,NA,NA
"temp2",920554,2,2,1,2,NA,NA,NA,NA,NA,NA
"temp2",902326,2,1,2,1,1,3,NA,NA,NA,NA
"temp2",921146,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",930857,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",927107,1,1,1,1,1,1,NA,NA,NA,NA
"temp2",919036,1,1,1,1,NA,NA,NA,NA,NA,NA
"temp2",933114,1,1,1,1,1,1,NA,NA,NA,NA
"temp2",931655,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",933658,1,2,2,2,NA,NA,NA,NA,NA,NA
"temp2",920870,1,1,1,1,1,NA,NA,NA,NA,NA
"temp2",932445,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",932953,1,1,1,NA,NA,NA,NA,NA,NA,NA
"temp2",933726,1,1,2,1,2,NA,NA,NA,NA,NA
"temp2",929280,1,1,1,1,1,NA,NA,NA,NA,NA
"temp2",928157,1,1,1,1,NA,NA,NA,NA,NA,NA
