"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"temp2",928215,3,2,1,1,1,1,NA,NA,NA,NA
"temp2",901615,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",902464,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",904665,3,2,3,1,3,NA,NA,NA,NA,NA
"temp2",905854,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",910308,3,3,3,1,NA,NA,NA,NA,NA,NA
"temp2",914632,3,3,3,3,NA,NA,NA,NA,NA,NA
"temp2",918487,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",919747,3,1,2,1,1,3,NA,NA,NA,NA
"temp2",920393,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",911679,3,3,1,1,3,NA,NA,NA,NA,NA
"temp2",919616,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",920250,3,2,1,1,1,3,NA,NA,NA,NA
"temp2",920561,2,3,3,1,1,1,3,NA,NA,NA
"temp2",901344,1,3,2,NA,NA,NA,NA,NA,NA,NA
"temp2",928577,3,3,3,3,NA,NA,NA,NA,NA,NA
"temp2",929329,2,3,3,1,3,NA,NA,NA,NA,NA
"temp2",904013,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",905093,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",910543,3,3,3,1,NA,NA,NA,NA,NA,NA
"temp2",911608,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",915798,3,3,3,NA,NA,NA,NA,NA,NA,NA
"temp2",916221,2,3,3,1,1,NA,NA,NA,NA,NA
"temp2",923965,2,2,3,1,3,NA,NA,NA,NA,NA
"temp2",924626,2,3,1,3,NA,NA,NA,NA,NA,NA
"temp2",902608,1,3,1,1,NA,NA,NA,NA,NA,NA
"temp2",913679,2,2,3,2,NA,NA,NA,NA,NA,NA
"temp2",915077,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",916260,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",917051,3,1,3,1,NA,NA,NA,NA,NA,NA
"temp2",917447,1,2,3,1,NA,NA,NA,NA,NA,NA
"temp2",918062,3,3,3,1,1,3,NA,NA,NA,NA
"temp2",919657,2,3,1,1,1,1,3,NA,NA,NA
"temp2",923847,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",926776,1,2,3,1,NA,NA,NA,NA,NA,NA
"temp2",930167,3,3,3,NA,NA,NA,NA,NA,NA,NA
"temp2",903654,3,3,1,3,NA,NA,NA,NA,NA,NA
"temp2",932093,2,3,3,NA,NA,NA,NA,NA,NA,NA
"temp2",903734,2,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",905068,2,2,3,3,NA,NA,NA,NA,NA,NA
"temp2",906952,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",908414,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",910820,1,1,3,3,NA,NA,NA,NA,NA,NA
"temp2",913088,2,3,3,NA,NA,NA,NA,NA,NA,NA
"temp2",913165,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",900440,2,3,3,3,NA,NA,NA,NA,NA,NA
"temp2",914616,2,1,3,1,1,NA,NA,NA,NA,NA
"temp2",915282,2,1,3,3,NA,NA,NA,NA,NA,NA
"temp2",915418,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",919161,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",921528,2,2,3,3,NA,NA,NA,NA,NA,NA
"temp2",923503,3,2,1,NA,NA,NA,NA,NA,NA,NA
"temp2",925249,1,3,3,1,3,NA,NA,NA,NA,NA
"temp2",926086,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",927885,2,2,3,1,3,NA,NA,NA,NA,NA
"temp2",927948,2,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",901297,2,2,3,1,3,NA,NA,NA,NA,NA
"temp2",929214,1,1,3,1,NA,NA,NA,NA,NA,NA
"temp2",931685,2,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",932458,1,1,3,1,2,NA,NA,NA,NA,NA
"temp2",933223,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",933727,2,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",901860,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",904129,2,3,1,NA,NA,NA,NA,NA,NA,NA
"temp2",904449,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",909623,1,3,3,3,NA,NA,NA,NA,NA,NA
"temp2",910665,3,3,3,NA,NA,NA,NA,NA,NA,NA
"temp2",911928,1,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",913555,1,1,3,1,NA,NA,NA,NA,NA,NA
"temp2",900833,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",911425,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",912468,1,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",914679,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",918613,2,1,3,NA,NA,NA,NA,NA,NA,NA
