Matching.Year,idpub,idpub,Matching.Year
1958,900537,916670,1958
1958,902498,905724,1958
1958,906081,930214,1958
1958,906521,904915,1958
1958,910616,928589,1958
1958,914594,930839,1958
1958,916078,909615,1958
1958,920931,932705,1958
1958,933706,928251,1958
1959,905204,930368,1958
1959,913545,931148,1959
1959,921567,922263,1959
1959,923433,919677,1959
1959,925526,932457,1959
1959,926034,925981,1959
1959,927857,921548,1959
1960,901295,922230,1960
1960,906274,930653,1960
1960,908656,903947,1960
1960,909884,919816,1959
1960,912361,926738,1960
1960,913086,926756,1960
1960,915787,919806,1960
1960,916669,919693,1960
1960,923324,907392,1960
1960,931019,931299,1960
1960,932419,928209,1960
1960,932995,917118,1960
1961,900674,920010,1961
1961,903096,933005,1961
1961,903318,921909,1960
1961,906222,916105,1961
1961,907115,924371,1961
1961,907526,932466,1961
1961,908636,917985,1960
1961,909278,926686,1961
1961,909783,928445,1961
1961,913744,924639,1961
1961,915060,928244,1960
1961,916804,917597,1960
1961,918128,912844,1961
1961,918937,913146,1961
1961,918957,921745,1961
1961,920635,925543,1961
1961,920800,908212,1961
1961,921287,913400,1960
1961,921844,932514,1961
1961,922383,930066,1961
1961,923524,921041,1961
1961,924238,931396,1961
1961,924896,913859,1961
1961,925741,931797,1961
1961,926081,930469,1961
1961,928038,920464,1961
1961,929186,928266,1961
1961,929684,929976,1961
1961,929687,915794,1961
1961,933218,928893,1961
1962,901125,910637,1962
1962,901636,906906,1961
1962,902125,924659,1962
1962,903194,929452,1962
1962,903452,927773,1962
1962,904831,924599,1962
1962,905130,900274,1962
1962,905857,933637,1962
1962,910291,918295,1962
1962,910299,928499,1962
1962,910636,906302,1962
1962,911584,906454,1961
1962,914826,927590,1962
1962,915698,929428,1962
1962,917768,921387,1962
1962,919494,913812,1961
1962,920190,917574,1962
1962,921580,926761,1962
1962,922505,920216,1962
1962,922992,930305,1962
1962,928283,915667,1962
1963,902575,902519,1963
1963,904103,920497,1963
1963,904104,918380,1962
1963,905094,928673,1962
1963,905666,931425,1963
1963,908372,927461,1962
1963,908571,910541,1962
1963,909770,900359,1963
1963,910863,923874,1962
1963,911324,923508,1962
1963,911731,930230,1963
1963,913037,928141,1963
1963,913623,933398,1962
1963,915165,932366,1963
1963,917274,931598,1963
1963,918539,929593,1963
1963,918583,933452,1961
1963,919491,905127,1962
1963,921057,908066,1962
1963,921845,917652,1963
1963,921995,924746,1963
1963,923254,933957,1962
1963,925106,917320,1963
1963,925153,933206,1961
1963,926093,932353,1963
1963,927994,933327,1962
1963,931816,929637,1963
1963,932284,920114,1962
1963,932322,921126,1963
1963,932396,926772,1962
1964,900115,925287,1963
1964,902619,903561,1964
1964,902833,931385,1963
1964,903830,926647,1964
1964,904379,916114,1964
1964,904478,931923,1964
1964,908411,923554,1963
1964,908629,931132,1963
1964,908871,919978,1964
1964,909245,924323,1963
1964,912423,918887,1964
1964,913190,908914,1964
1964,914321,931098,1963
1964,916411,912605,1962
1964,916936,913694,1963
1964,917683,911960,1963
1964,918047,910306,1964
1964,918152,928490,1962
1964,918698,912183,1964
1964,919715,902470,1963
1964,920069,916234,1964
1964,920198,917853,1963
1964,920687,923007,1964
1964,921875,919825,1962
1964,923561,925675,1964
1964,926041,924262,1963
1964,926677,914048,1963
1964,926916,910182,1964
1964,927341,930854,1963
1964,930955,901559,1963
1964,931034,931955,1964
1964,933364,901510,1963
1964,933413,913423,1964
1965,900859,901123,1964
1965,901927,928218,1964
1965,902033,932780,1965
1965,902418,912562,1965
1965,903195,919916,1965
1965,906701,912338,1965
1965,908027,917637,1963
1965,909211,925731,1964
1965,914635,932199,1965
1965,914643,917825,1965
1965,915578,920396,1965
1965,916661,909076,1965
1965,916905,923140,1965
1965,918829,931649,1964
1965,922051,900838,1964
1965,922793,903051,1964
1965,925710,906134,1964
1965,926719,930372,1964
1965,927404,908180,1965
1965,929605,930764,1965
